Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,53.099998,53.299999,52.730000,53.000000,51.891098,361000
2018-01-03,53.000000,53.049999,51.250000,51.299999,50.226662,255700
2018-01-04,51.299999,51.849998,50.930000,51.450001,50.373528,315000
2018-01-05,51.549999,51.889999,50.599998,51.099998,50.030838,277100
2018-01-08,50.900002,51.299999,49.349998,49.950001,48.904911,549300
2018-01-09,50.150002,50.250000,49.049999,49.250000,48.219555,405400
2018-01-10,49.299999,50.950001,49.049999,50.750000,49.688171,348800
2018-01-11,50.950001,53.599998,50.900002,53.250000,52.135864,325600
2018-01-12,53.549999,55.150002,53.500000,54.750000,53.604481,341200
2018-01-16,55.250000,55.930000,54.849998,55.200001,54.045067,485500
2018-01-17,55.500000,55.549999,53.900002,54.000000,52.870171,215900
2018-01-18,53.900002,54.299999,53.639999,53.849998,52.723305,282300
2018-01-19,54.150002,54.900002,53.849998,54.200001,53.065979,271600
2018-01-22,54.099998,54.549999,53.650002,54.450001,53.310757,137900
2018-01-23,54.500000,55.200001,54.000000,54.799999,53.653427,305100
2018-01-24,54.750000,55.599998,54.049999,55.250000,54.094021,390000
2018-01-25,55.250000,55.450001,53.400002,54.000000,52.870171,419000
2018-01-26,54.049999,55.150002,53.700001,54.900002,53.751343,402900
2018-01-29,54.900002,57.130001,54.500000,56.750000,55.562634,386700
2018-01-30,56.500000,57.349998,55.700001,55.849998,54.681458,300000
2018-01-31,56.099998,57.000000,55.700001,55.750000,54.583553,241800
2018-02-01,55.700001,56.650002,55.200001,56.549999,55.366814,340500
2018-02-02,58.000000,58.000000,53.950001,54.150002,53.017033,361300
2018-02-05,53.900002,54.250000,51.799999,52.150002,51.058884,345300
2018-02-06,50.500000,53.400002,50.250000,52.849998,51.744228,303100
2018-02-07,52.700001,54.200001,52.259998,54.150002,53.017033,291200
2018-02-08,54.450001,54.450001,53.250000,53.299999,52.184814,281600
2018-02-09,53.650002,54.150002,51.450001,53.500000,52.380630,294500
2018-02-12,53.650002,55.750000,53.500000,55.150002,53.996113,261500
2018-02-13,54.799999,56.599998,54.650002,56.349998,55.171001,221900
2018-02-14,55.799999,57.099998,55.230000,56.700001,55.513680,227700
2018-02-15,57.150002,58.150002,56.299999,57.799999,56.590664,217000
2018-02-16,57.500000,58.049999,56.549999,56.599998,55.415775,154000
2018-02-20,56.000000,56.799999,55.150002,56.099998,54.926235,137100
2018-02-21,55.599998,57.450001,55.599998,56.250000,55.073093,230600
2018-02-22,56.200001,57.000000,55.950001,56.099998,54.926235,170600
2018-02-23,56.299999,56.750000,55.900002,56.349998,55.171001,167100
2018-02-26,56.450001,58.080002,56.450001,57.349998,56.150078,294400
2018-02-27,57.450001,58.549999,56.049999,56.099998,54.926235,202400
2018-02-28,56.250000,56.700001,54.700001,54.799999,53.653427,249000
2018-03-01,54.750000,56.049999,54.299999,55.150002,53.996113,228700
2018-03-02,54.650002,54.900002,53.500000,54.750000,53.604481,247600
2018-03-05,54.250000,55.599998,54.000000,55.450001,54.289837,258600
2018-03-06,55.599998,56.450001,55.400002,56.099998,54.926235,268300
2018-03-07,55.549999,56.349998,55.549999,56.150002,54.975189,230400
2018-03-08,56.150002,57.450001,56.000000,57.049999,55.856354,155700
2018-03-09,57.349998,58.200001,57.150002,57.950001,56.737526,164700
2018-03-12,58.250000,58.950001,57.750000,58.450001,57.227062,165500
2018-03-13,58.250000,59.400002,57.750000,59.400002,58.157188,298000
2018-03-14,59.599998,59.919998,58.450001,58.500000,57.276016,172300
2018-03-15,58.700001,58.750000,57.599998,58.700001,57.471836,133500
2018-03-16,58.700001,60.650002,58.650002,60.299999,59.038361,457500
2018-03-19,60.000000,60.200001,58.700001,59.549999,58.304050,164500
2018-03-20,59.849998,60.349998,59.500000,59.849998,58.597771,180800
2018-03-21,59.549999,59.599998,57.849998,58.900002,57.667648,154400
2018-03-22,58.549999,58.750000,56.799999,56.849998,55.660538,269800
2018-03-23,57.150002,57.150002,54.700001,54.950001,53.800297,301600
2018-03-26,55.700001,55.900002,53.900002,55.599998,54.436691,488500
2018-03-27,55.900002,56.150002,54.099998,54.299999,53.163895,168400
2018-03-28,54.099998,54.650002,53.549999,53.950001,52.918674,166400
2018-03-29,54.000000,55.200001,53.500000,54.400002,53.360073,339500
2018-04-02,54.299999,54.380001,52.299999,52.750000,51.741611,205900
2018-04-03,53.200001,55.049999,53.200001,54.799999,53.752419,230600
2018-04-04,53.750000,55.650002,53.500000,55.450001,54.390003,153000
2018-04-05,56.049999,56.250000,55.599998,56.049999,54.978531,167100
2018-04-06,55.700001,56.450001,54.150002,54.750000,53.703381,243600
2018-04-09,55.150002,55.570000,54.150002,54.150002,53.114849,139600
2018-04-10,54.950001,55.000000,52.849998,53.150002,52.133968,327700
2018-04-11,53.000000,53.299999,52.400002,52.700001,51.692566,255900
2018-04-12,53.200001,54.400002,52.009998,53.849998,52.820580,388700
2018-04-13,54.299999,54.900002,54.049999,54.150002,53.114849,305800
2018-04-16,54.500000,55.900002,54.299999,55.400002,54.340950,199000
2018-04-17,55.950001,56.099998,55.250000,55.849998,54.782345,181200
2018-04-18,56.099998,57.900002,56.099998,57.099998,56.008450,234800
2018-04-19,56.900002,56.950001,56.000000,56.349998,55.272793,97800
2018-04-20,56.049999,56.750000,56.049999,56.349998,55.272793,122400
2018-04-23,56.750000,57.150002,55.799999,56.599998,55.518017,153300
2018-04-24,56.750000,56.950001,54.750000,55.450001,54.390003,237300
2018-04-25,55.650002,55.650002,54.599998,54.950001,53.899559,131200
2018-04-26,54.700001,54.700001,52.950001,53.450001,52.428234,222300
2018-04-27,55.650002,58.500000,54.000000,57.799999,56.695072,429500
2018-04-30,57.849998,58.599998,56.099998,56.900002,55.812283,420200
2018-05-01,56.700001,58.450001,56.000000,58.299999,57.185516,400200
2018-05-02,58.299999,58.799999,57.849998,58.250000,57.136471,386900
2018-05-03,58.099998,58.150002,56.299999,56.400002,55.321842,338500
2018-05-04,56.299999,57.150002,53.500000,56.750000,55.665146,515200
2018-05-07,56.750000,56.750000,55.150002,55.500000,54.439037,237000
